,id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
171,US20110208271A1,Dynamic nerve stimulation employing frequency modulation ,Dobak John D,John D. Dobak,2002-03-22,2011-04-28,2011-08-25,,https://patents.google.com/patent/US20110208271A1/en
172,US20150094914A1,Method and apparatus for biological evaluation ,"Geelux Holding, Ltd.",Marcio Marc Abreu,2004-02-26,2014-10-11,2015-04-02,,https://patents.google.com/patent/US20150094914A1/en
173,US20120040381A1,Predicting mortality and detecting severe disease ,"Snider James V, Sven Jacobson","James V. Snider, Sven Jacobson",2006-04-24,2011-10-26,2012-02-16,,https://patents.google.com/patent/US20120040381A1/en
174,US20110178105A1,Clinical benefits of eicosapentaenoic acid in humans ,E.I. Du Pont De Nemours And Company,"Peter John Gillies, Ernst John Schaefer",2010-01-15,2011-01-10,2011-07-21,,https://patents.google.com/patent/US20110178105A1/en
175,US20120095340A1,Intravascular Ultrasound Pigtail Catheter ,Volcano Corporation,Brian E. Smith,2010-10-13,2011-10-12,2012-04-19,,https://patents.google.com/patent/US20120095340A1/en
176,WO2013105058A1,"7,8- dihydropyrido [3, 4 - b] pyrazines as ip receptor agonists for the treatment of pulmonary arterial hypertension (pah) and related disorders ",Novartis Ag,Catherine Leblanc,2012-01-13,2013-01-11,2013-07-18,,https://patents.google.com/patent/WO2013105058A1/en
177,WO2013105065A1,Fused piperidines as ip receptor agonists for the treatment of pah and related disorders ,Novartis Ag,"Steven John Charlton, Catherine Leblanc, Stephen Carl Mckeown",2012-01-13,2013-01-11,2013-07-18,,https://patents.google.com/patent/WO2013105065A1/en
178,WO2013105061A1,"Fused dihydropyrido [2,3 -b] pyrazines as ip receptor agonists for the treatment of pulmonary arterial hypertension (pah) and related disorders ",Novartis Ag,"Catherine Leblanc, Stephen Carl Mckeown, Steven John Charlton, Gurdip Bhalay, Mark Patrick Healy",2012-01-13,2013-01-11,2013-07-18,,https://patents.google.com/patent/WO2013105061A1/en
179,US20130054467A1,System for remote review of clinical data ,"Mvisum, Inc.","Seema DALA, Praveen Dala",2006-07-19,2012-08-01,2013-02-28,,https://patents.google.com/patent/US20130054467A1/en
180,WO2011126842A2,Targeting micrornas for the treatment of cardiac disorders ,Regulus Therapeutics Inc.,"B. Nelson Chau, Peter Linsley",2010-03-30,2011-03-29,2011-10-13,,https://patents.google.com/patent/WO2011126842A2/en
181,US20120132211A1,Monitoring endotracheal intubation ,Earlysense Ltd.,"Avner Halperin, Roman Karasik, Guy Meger",2007-05-02,2011-11-28,2012-05-31,,https://patents.google.com/patent/US20120132211A1/en
182,US20130195759A1,Nanostructures suitable for sequestering cholesterol and other molecules ,Northwestern University,"Chad A. Mirkin, C. Shad Thaxton, David A. Giljohann, Weston Daniel",2008-04-25,2012-10-15,2013-08-01,,https://patents.google.com/patent/US20130195759A1/en
183,US8469904B2,Energetic modulation of nerves ,"Kona Medical, Inc.",Michael Gertner,2009-10-12,2011-03-15,2013-06-25,2013-06-25,https://patents.google.com/patent/US8469904B2/en
184,US20130035599A1,Respiratory motion detection apparatus ,Koninklijke Philips Electronics N.V.,"Frederik Jan De Bruijn, Adrienne Heinrich, Ruud Vlutters",2010-04-21,2011-04-13,2013-02-07,,https://patents.google.com/patent/US20130035599A1/en
185,US20120157397A1,Trimethylamine-containing compounds for diagnosis and prediction of disease ,"Hazen Stanley L, Zeneng Wang, Levison Bruce S","Stanley L. Hazen, Zeneng Wang, Bruce S. Levison",2009-05-28,2011-11-28,2012-06-21,,https://patents.google.com/patent/US20120157397A1/en
186,US8603010B2,Techniques for prediction and monitoring of clinical episodes ,Earlysense Ltd.,"Daniel H. Lange, Avner Halperin, Itzhak Pinhas, Yossi Gross",2004-02-05,2013-01-25,2013-12-10,2013-12-10,https://patents.google.com/patent/US8603010B2/en
187,US20130246098A1,Methods and apparatus for determining a clinician's intent to order an item ,"Nuance Communications, Inc.","Isam H. Habboush, Davide Zaccagnini",2011-02-18,2013-03-01,2013-09-19,,https://patents.google.com/patent/US20130246098A1/en
188,WO2013086486A1,Integrated human organ-on-chip microphysiological systems ,"President And Fellows Of Harvard College, Vanderbilt University","John P. Wikswo, Philip C. SAMSON, III Frank Emmanuel BLOCK, Ronald S. Reiserer, Kevin Kit Parker, John A. Mclean, Lisa Joy MCCAWLEY, Dmitry Markov, Daniel Levner, Donald E. Ingber, Geraldine A. HAMILTON, Josue A. Goss, Robert Cunningham, David E. Cliffel, Jennifer Robin MCKENZIE, Anthony BAHINSKI, Christopher David HINOJOSA",2011-12-09,2012-12-10,2013-06-13,,https://patents.google.com/patent/WO2013086486A1/en
189,US20120172723A1,Intravascular catheter to deliver unfocused energy to nerves surrounding a blood vessel ,"Kona Medical, Inc.",Michael Gertner,2009-10-12,2012-03-09,2012-07-05,,https://patents.google.com/patent/US20120172723A1/en
190,US20130253348A1,Real time clinical decision support system having linked references ,The Regents Of The University Of Michigan,Kevin K. Tremper,2009-10-08,2013-05-06,2013-09-26,,https://patents.google.com/patent/US20130253348A1/en
191,US20120290051A1,"Method, device and system for modulating an activity of brown adipose tissue in a vertebrate subject ","Searete Llc, A Limited Liability Corporation Of The State Of Delaware","Edward S. Boyden, Roderick A. Hyde, Muriel Y. Ishikawa, Edward K.Y. Jung, Eric C. Leuthardt, Stephen L. Malaska, Elizabeth A. Sweeney, Lowell L. Wood, JR.",2011-05-09,2011-09-01,2012-11-15,,https://patents.google.com/patent/US20120290051A1/en
192,US20130173287A1,Medical kiosk and method of use ,HealthSpot Inc.,"Steve Cashman, John W. Spirk, Jason G. Tilk, John R. Nottingham, Jeffrey Kalman",2011-03-31,2013-02-06,2013-07-04,,https://patents.google.com/patent/US20130173287A1/en
193,US20120121530A1,Vasoprotective and cardioprotective antidiabetic therapy ,Boehringer Ingelheim International Gmbh,"Thomas Klein, Andreas DAIBER, Odd-Eric JOHANSEN, Michael Mark, Sanjaykumar PATEL, Hans-Juergen Woerle",2010-11-15,2011-11-14,2012-05-17,,https://patents.google.com/patent/US20120121530A1/en
194,US20130245486A1,Devices and methods for monitoring non-invasive vagus nerve stimulation ,"ElectroCore, LLC.","Bruce J. Simon, Joseph P. Errico",2009-03-20,2013-04-28,2013-09-19,,https://patents.google.com/patent/US20130245486A1/en
195,WO2013008185A1,Treatment with anti-pcsk9 antibodies ,Pfizer Inc.,Chandrasekhar UDATA,2011-07-14,2012-07-10,2013-01-17,,https://patents.google.com/patent/WO2013008185A1/en
196,US20120022336A1,Iterative probabilistic parameter estimation apparatus and method of use therefor ,"Streamline Automation, Llc",Rodrigo Teixeira,2010-07-21,2011-07-12,2012-01-26,,https://patents.google.com/patent/US20120022336A1/en
197,WO2013169886A1,Anti-pcsk9 antibodies and use thereof ,Alderbio Holdings Llc,"Andrew Lawrence Feldhaus, Leon F. Garcia-Martinez, Benjamin H. Dutzar, Ethan Wayne OJALA, Brian Robert KOVACEVICH, Katie Olson, Pei Fan, Jens Billgren, Erica Ann STEWART, Corinne C. Akatsuka, Patricia Dianne Mcneill, Danielle Marie MITCHELL, Dan Scott ALLISON, John A. Latham",2012-05-08,2013-05-08,2013-11-14,,https://patents.google.com/patent/WO2013169886A1/en
198,WO2012104655A2,Compostions and methods for treating chronic inflammation and inflammatory diseases ,Biocopea Limited,"Robin Mark Bannister, John Brew, Wilson Caparros-Wanderley, Gregory Alan Stoloff, Suzanne Jane Dilly, Gemma SZUCS, Mateo Olga Pleguezuelos",2011-02-04,2012-02-03,2012-08-09,,https://patents.google.com/patent/WO2012104655A2/en
199,US20110144658A1,Catheter simulation and assistance system ,Corindus Inc.,"Tal Wenderow, Thomas Bromander",2008-08-29,2011-02-24,2011-06-16,,https://patents.google.com/patent/US20110144658A1/en
200,US20120135409A1,Methods of monitoring conditions by sequence analysis ,"Sequenta, Inc.","Malek Faham, Thomas Willis",2008-11-07,2011-08-19,2012-05-31,,https://patents.google.com/patent/US20120135409A1/en
201,US20130281815A1,Wearable remote electrophysiological monitoring system ,The Board Of Trustees Of The University Of Arkansas,Vijay K. Varadan,2012-04-18,2013-03-14,2013-10-24,,https://patents.google.com/patent/US20130281815A1/en
202,US20130012786A1,"Chair Pad System and Associated, Computer Medium and Computer-Implemented Methods for Monitoring and Improving Health and Productivity of Employees ",Saudi Arabian Oil Company,Samantha J. Horseman,2011-07-05,2012-07-02,2013-01-10,,https://patents.google.com/patent/US20130012786A1/en
203,US20120185010A1,Vagal stimulation ,"Xiaohong Zhou, Lilian Kornet, Cornelussen Richard N M, Ziegler Paul D, Robert Stadler, Eduardo Warman, Kleckner Karen J, Lucy Nichols, Alberto Della Scala","Xiaohong Zhou, Lilian Kornet, Richard N.M. Cornelussen, Paul D. Ziegler, Robert Stadler, Eduardo Warman, Karen J. Kleckner, Lucy Nichols, Alberto Della Scala",2011-01-19,2012-01-19,2012-07-19,,https://patents.google.com/patent/US20120185010A1/en
204,US20120185007A1,Vagal stimulation ,"Ziegler Paul D, Lillian Kornet, Xiaohong Zhou, Richard Cornelussen, Robert Stadler, Eduardo Warman, Kleckner Karen J, Alberto Della Scala","Paul D. Ziegler, Lillian Kornet, Xiaohong Zhou, Richard Cornelussen, Robert Stadler, Eduardo Warman, Karen J. Kleckner, Alberto Della Scala",2011-01-19,2012-01-19,2012-07-19,,https://patents.google.com/patent/US20120185007A1/en
205,US20130267791A1,"Monitoring, predicting and treating clinical episodes ",Earlysense Ltd.,"Avner Halperin, Guy Meger",2008-05-12,2013-05-30,2013-10-10,,https://patents.google.com/patent/US20130267791A1/en
206,US20140094707A1,Wearable apparatus for measuring heart-related parameters and deriving human status parameters from sensed physiological and contextual parameters ,"Bodymedia, Inc.","Jonathan Farringdon, John M. Stivoric, Eric Teller, David Andre, Scott Boehmke, James Gasbarro, Gregory Kovacs, Raymond Pelletier, Christopher Kasabach",2003-09-12,2013-01-04,2014-04-03,,https://patents.google.com/patent/US20140094707A1/en
207,US20120122777A1,Diagnostic agent for ischemic heart disease risk group ,"Masao Daimon, Daiichi Pure Chemicals Co., Ltd.","Masao Daimon, Tohru Minamino, Kenji Hashimoto, Issei Komuro",2004-03-03,2011-06-16,2012-05-17,,https://patents.google.com/patent/US20120122777A1/en
208,US20110256635A1,Soluble human st-2 antibodies and assays ,"Critical Care Diagnostics, Inc.",James V. Snider,2010-04-09,2011-04-08,2011-10-20,,https://patents.google.com/patent/US20110256635A1/en
209,US8983682B1,Unlocking mobile-device and/or unmanned aerial vehicle capability in an emergency situation ,Google Inc.,"Eric Peeters, Eric Teller, William Graham Patrick",2012-12-28,2012-12-28,2015-03-17,2015-03-17,https://patents.google.com/patent/US8983682B1/en
210,WO2014022767A1,Dihydropyridone p1 as factor xia inhibitors ,Bristol-Myers Squibb Company,"Wu Yang, James R. Corte, Paul J. Gilligan, Donald J.P. Pinto PINTO, William R. Ewing, Andrew K. DILGER, Yufeng Wang, Tianan Fang, Kumar B. PABBISETTY, Ii Leon M. Smith",2012-08-03,2013-08-02,2014-02-06,,https://patents.google.com/patent/WO2014022767A1/en
211,US20120296455A1,Optical data capture of exercise data in furtherance of a health score computation ,Quentiq AG,"Peter Ohnemus, Andre Naef",2011-05-16,2012-03-16,2012-11-22,,https://patents.google.com/patent/US20120296455A1/en
212,WO2013105063A1,Fused piperidines as ip receptor agonists for the treatment of pulmonary arterial hypertension (pah) and related disorders ,Novartis Ag,"Steven John Charlton, Catherine Leblanc, Stephen Carl Mckeown",2012-01-13,2013-01-11,2013-07-18,,https://patents.google.com/patent/WO2013105063A1/en
213,CN102232828A,Wireless multi-parameter local/remote real-time monitoring system ,???,???,2010-04-01,2011-01-07,2011-11-09,,https://patents.google.com/patent/CN102232828A/en
214,US20130124039A1,Thermal Imaging System ,Marcio Marc Abreu,Marcio Marc Abreu,2003-04-22,2012-12-10,2013-05-16,,https://patents.google.com/patent/US20130124039A1/en
215,WO2013101830A1,"2 - benzyl, 3 - (pyrimidin- 2 -yl) substituted pyrazoles useful as sgc stimulators ","Ironwood Pharmaceuticals, Inc.","Charles Kim, Takashi Nakai, Joel Moore, Nicholas Robert Perl, G-yoon Jamie IM, Timothy Claude Barden, Rajesh R. Iyengar, Daniel P. Zimmer, Angelika Fretzen, Paul Allan RENHOWE",2011-12-27,2012-12-26,2013-07-04,,https://patents.google.com/patent/WO2013101830A1/en
216,US20130040898A1,Methods of treatment of patients at increased risk of development of ischemic events and compounds hereof ,Pär Johansson,Pär Johansson,2010-04-29,2011-04-29,2013-02-14,,https://patents.google.com/patent/US20130040898A1/en
217,US8628927B2,Monitoring health and disease status using clonotype profiles ,"Sequenta, Inc.","Malek Faham, Thomas Willis",2008-11-07,2013-02-11,2014-01-14,2014-01-14,https://patents.google.com/patent/US8628927B2/en
218,US20130281795A1,Wearable remote electrophysiological monitoring system ,The Board Of Trustees Of The University Of Arkansas,Vijay K. Varadan,2012-04-18,2012-04-18,2013-10-24,,https://patents.google.com/patent/US20130281795A1/en
219,US20130012438A1,Kallikrein inhibitors and anti-thrombolytic agents and uses thereof ,Dyax Corp.,"Henry Blair, Thomas Beck, Robert Charles Ladner",2004-09-27,2012-04-27,2013-01-10,,https://patents.google.com/patent/US20130012438A1/en
220,WO2014019186A1,Antidiabetic tricyclic compounds ,Merck Sharp & Dohme Corp.,"William K. Hagmann, Ravi P. Nargund, Timothy A. Blizzard, Hubert Josien, Purakkattle Biju, Christopher W. Plummer, Qun Dang, Bing Li, Linus S. Lin, Mingxiang Cui, Bin Hu, Jinlai HAO, Zhengxia CHEN",2012-08-02,2012-08-02,2014-02-06,,https://patents.google.com/patent/WO2014019186A1/en
221,US20130046167A1,Systems and Methods for Identifying Vascular Borders ,Volcano Corporation,Jignesh Shah,2011-08-17,2011-08-17,2013-02-21,,https://patents.google.com/patent/US20130046167A1/en
222,US20120316458A1,"Data-capable band for medical diagnosis, monitoring, and treatment ","Aliphcom, Inc.","Hosain Sadequr Rahman, Richard Lee Drysdale, Michael Edward Smith Luna, Scott Fullam, Travis Austin Bogard, Jeremiah Robison, Everett Utter II Max, Thomas Alan Donaldson",2011-06-11,2011-07-11,2012-12-13,,https://patents.google.com/patent/US20120316458A1/en
223,WO2013048734A1,"Treatment and prevention of cardiovascular disease with cell derived lipid vesicles, microvesicles and exosomes ","Tufts Medical Center, Inc.","Gregory A. IMBRIE, Richard Karas",2011-09-28,2012-09-12,2013-04-04,,https://patents.google.com/patent/WO2013048734A1/en
224,US20140188770A1,System and method for enabling continuous or instantaneous identity recognition based on physiological biometric signals ,"Foteini Agrafioti, Francis Minhthang Bui, Dimitrios Hatzinakos","Foteini Agrafioti, Francis Minhthang Bui, Dimitrios Hatzinakos",2011-05-10,2012-05-10,2014-07-03,,https://patents.google.com/patent/US20140188770A1/en
225,US20120215559A1,Methods and apparatus for linking extracted clinical facts to text ,"Nuance Communications, Inc.","James R. Flanagan, Davide Zaccagnini, Frank Montyne, David Decraene, David Hellman, Matthew R. Shelton, Mariana Casella dos Santos, Karen Anne Doyle, Johan Raedemaeker, Joeri Van der Vloet, Isam Habboush, Anthony J. Elcocks, Anush Hartunian",2011-02-18,2011-02-18,2012-08-23,,https://patents.google.com/patent/US20120215559A1/en
226,US20140121540A1,System and method for monitoring the health of a user ,Aliphcom,Aza Raskin,2012-05-09,2013-05-08,2014-05-01,,https://patents.google.com/patent/US20140121540A1/en
227,US8948935B1,Providing a medical support device via an unmanned aerial vehicle ,Google Inc.,"Eric Peeters, Eric Teller, William Graham Patrick, Sergey Brin",2013-01-02,2013-01-02,2015-02-03,2015-02-03,https://patents.google.com/patent/US8948935B1/en
228,WO2012020307A2,Therapeutic uses of microvesicles and related micrornas ,The University Court Of The University Of Glasgow,"Paul Shiels, Wayne Davies",2010-08-13,2011-08-12,2012-02-16,,https://patents.google.com/patent/WO2012020307A2/en
229,US8257654B2,Health monitoring and diagnostic device and network-based health assessment and medical records maintenance system ,"Polymer Technology Systems, Inc.","Christopher T. Maus, Craig A. Coad, Jackson B. Connolly, Noah M. Coad, James L. Moody, Kenn A. Nesbitt, Kenneth D. Clegg",1998-11-09,2011-06-23,2012-09-04,2012-09-04,https://patents.google.com/patent/US8257654B2/en
230,US20150031964A1,Physiological signal detecting device and system ,"Aclaris Medical, Llc","Mark James Bly, Scott Mazar, Kevin Daniel Ruda",2012-02-22,2013-02-22,2015-01-29,,https://patents.google.com/patent/US20150031964A1/en
231,US20150335288A1,"Modular physiologic monitoring systems, kits, and methods ","Tricord Holdings, Llc","Landy Toth, Robert Schwartz",2013-06-06,2015-07-31,2015-11-26,,https://patents.google.com/patent/US20150335288A1/en
232,WO2014022766A1,Dihydropyridone p1 as factor xia inhibitors ,Bristol-Myers Squibb Company,"Wu Yang, James R. Corte, Paul J. Gilligan, Donald J.P. Pinto PINTO, William R. Ewing, Yufeng Wang",2012-08-03,2013-08-02,2014-02-06,,https://patents.google.com/patent/WO2014022766A1/en
233,US20130053303A1,Compounds for enzyme inhibition ,"Onyx Therapeutics, Inc.","Kevin D. Shenk, Francesco Parlati, Han-Jie Zhou, Catherine Sylvain, Mark S. Smyth, Mark K. Bennett, Guy J. Laidig",2006-06-19,2012-10-05,2013-02-28,,https://patents.google.com/patent/US20130053303A1/en
234,US8420656B2,Substituted 5-fluoro-1H-pyrazolopyridines and their use ,Bayer Intellectual Property Gmbh,"Markus Follmann, Johannes-Peter Stasch, Gorden Redlich, Jens Ackerstaff, Nils Griebenow, Walter Kroh, Andreas Knorr, Eva-Maria Becker, Frank Wunder, Volkhart Min-Jian Li, Elke Hartmann, Joachim Mittendorf, Karl-Heinz Schlemmer, Rolf Jautelat, Donald Bierer",2010-05-26,2011-05-19,2013-04-16,2013-04-16,https://patents.google.com/patent/US8420656B2/en
235,US20120148588A1,Methods for increasing thermogenic adipocytes ,"Acceleron Pharma, Inc.","John Knopf, Jasbir Seehra, Ravindra Kumar",2009-06-08,2012-02-23,2012-06-14,,https://patents.google.com/patent/US20120148588A1/en
236,US20120253515A1,Methods and apparatus for surgical planning ,"Inria Roquencourt, Intuitive Surgical Operations, Inc.","Eve C. Coste-Maniere, Louai Adhami, Jean-Daniel Boissonnat, Alain Carpentier, Gary S. Guthart",2001-06-07,2012-03-28,2012-10-04,,https://patents.google.com/patent/US20120253515A1/en
237,US20130009993A1,"Systems, Computer Medium and Computer-Implemented Methods for Providing Health Information to Employees Via Augmented Reality Display ",Saudi Arabian Oil Company,Samantha J. Horseman,2011-07-05,2012-07-02,2013-01-10,,https://patents.google.com/patent/US20130009993A1/en
238,US20130297348A1,Physician and clinical documentation specialist workflow integration ,"Nuance Communications, Inc.","Timothy Cardoza, James R. Flanagan, Brian P. Boyer",2011-02-18,2013-06-18,2013-11-07,,https://patents.google.com/patent/US20130297348A1/en
239,US8906964B2,Methods of administering compositions comprising docosapentaenoic acid ,"Matinas Biopharma, Inc.","George Bobotas, Abdel Aziz Fawzy",2012-06-17,2013-12-09,2014-12-09,2014-12-09,https://patents.google.com/patent/US8906964B2/en
240,US20140046209A1,"Monitoring, predicting and treating clinical episodes ",Earlysense Ltd.,"Tal KLAP, Shiraz LEVKOVICH, Zvika Shinar, Guy Meger",2007-05-02,2013-10-15,2014-02-13,,https://patents.google.com/patent/US20140046209A1/en
241,US20130029910A1,METHOD OF TREATING PROSTATE CANCER WITH GnRH ANTAGONIST ,"Meulen Egbert A Van Der, Tanko Laszlo Balazs","Egbert A van der Meulen, László Balázs Tankó",2008-02-11,2012-04-27,2013-01-31,,https://patents.google.com/patent/US20130029910A1/en
242,US8795174B2,Adherent device with multiple physiological sensors ,"Corventis, Inc.","Yatheendhar D. Manicka, Badri Amurthur, Mark J. Bly, Kristofer J. James, Imad Libbus, Scott T. Mazar, Jerry S. Wang",2007-09-14,2012-08-29,2014-08-05,2014-08-05,https://patents.google.com/patent/US8795174B2/en
243,WO2014031465A1,Novel azabenzimidazole tetrahydropyran derivatives ,Merck Sharp & Dohme Corp.,"James M. Apgar, Tesfaye Biftu, Ping Chen, Danqing Feng, Jacqueline D. Hicks, Ahmet Kekec, Kenneth J. Leavitt, Bing Li, Iyassu Sebhat, Xiaoxia Qian, Lan Wei, Robert R. Wilkening, Zhicai Wu",2012-08-22,2013-08-16,2014-02-27,,https://patents.google.com/patent/WO2014031465A1/en
244,WO2013105057A1,Fused pyrroles as ip receptor agonists for the treatment of pulmonary arterial hypertension (pah) and related disorders ,Novartis Ag,"Catherine Leblanc, Claire Adcock",2012-01-13,2013-01-11,2013-07-18,,https://patents.google.com/patent/WO2013105057A1/en
245,US20120289794A1,Continuous Monitoring of Stress Using a Stress Profile Created by Renal Doppler Sonography ,Fujitsu Limited,"Jawahar Jain, David Loren Marvit, Shreyans Gandhi, Madan Bahadur",2011-05-13,2011-05-13,2012-11-15,,https://patents.google.com/patent/US20120289794A1/en
246,US20130236431A1,"Compositions and Methods for Tissue Engineering, Tissue Regeneration and Wound Healing ","University Of South Carolina, Medical University Of South Carolina","Robert G. Gourdie, Jay D. Potts",2009-10-01,2013-04-01,2013-09-12,,https://patents.google.com/patent/US20130236431A1/en
247,US20120172584A1,Nicotyl riboside compositions and methods of use ,Cornell University,"Anthony Andrew Sauve, Tianle Yang",2005-11-18,2012-01-17,2012-07-05,,https://patents.google.com/patent/US20120172584A1/en
248,WO2011160630A2,Glucagon analogues ,Zealand Pharma A/S,"Eddi Meier, Ditte Riber, Jens Rosengren Daugaard, Marie Skovgaard",2010-06-23,2011-06-23,2011-12-29,,https://patents.google.com/patent/WO2011160630A2/en
249,US20130131141A1,Reduced size self-delivering rnai compounds ,"Anastasia Khvorova, William Salomon, Joanne Kamens, Dmitry Samarsky, Tod M. Woolf, James Cardia","Anastasia Khvorova, William Salomon, Joanne Kamens, Dmitry Samarsky, Tod M. Woolf, James Cardia",2010-03-24,2011-03-24,2013-05-23,,https://patents.google.com/patent/US20130131141A1/en
250,US20150005372A1,Compositions and methods of altering cholesterol levels ,"Moderna Therapeutics, Inc.","Stephen G. Hoge, Antonin de Fougerolles, Jeff Lynn Ellsworth",2013-03-15,2014-08-08,2015-01-01,,https://patents.google.com/patent/US20150005372A1/en
251,US8843210B2,Non-invasive vagal nerve stimulation to treat disorders ,"ElectroCore, LLC","Bruce Simon, Joseph P. Errico, John T. Raffle",2009-03-20,2012-09-05,2014-09-23,2014-09-23,https://patents.google.com/patent/US8843210B2/en
252,WO2012116453A1,Multivalent heteromultimer scaffold design and constructs ,Zymeworks Inc.,"Surjit Bhimarao Dixit, Igor Edmondo Paolo D'angelo, David Kai Yuen Poon",2011-03-03,2012-03-02,2012-09-07,,https://patents.google.com/patent/WO2012116453A1/en
253,US20110251960A1,Medical Data Encryption for Communication Over a Vulnerable System ,"Mvisum, Inc.","Seema Holla, Praveen Dala-Krishna",2006-07-19,2011-06-16,2011-10-13,,https://patents.google.com/patent/US20110251960A1/en
254,US20120252770A1,Chemical Compounds 572 ,"Markus Berger, Dahmen Jan, Karl Edman, Anders Eriksson, Balint Gabos, Thomas Hansson, Martin Hemmerling, Krister Henriksson, Svetlana Ivanova, Lepistoe Matti, Mckerrencher Darren, Rosenschoeld Magnus Munck Af, Stinabritt Nilsson, Hartmut Rehwinkel, Camilla Taflin","Markus Berger, Jan Dahmén, Karl Edman, Anders Eriksson, Balint Gabos, Thomas Hansson, Martin Hemmerling, Krister Henriksson, Svetlana Ivanova, Matti Lepistö, Darren McKerrencher, Magnus Munck Af Rosenschöld, Stinabritt Nilsson, Hartmut Rehwinkel, Camilla Taflin",2006-12-21,2012-03-23,2012-10-04,,https://patents.google.com/patent/US20120252770A1/en
255,US20120095523A1,Devices and methods for treatment of heart failure and associated conditions ,Nadim Yared,Nadim Yared,2008-06-16,2011-01-06,2012-04-19,,https://patents.google.com/patent/US20120095523A1/en
256,US20130064832A1,Notch inhibition in the treatment and prevention of a metabolic disease or disorder and cardiovascular complications thereof ,"Masanori Aikawa, Daiju Fukuda, Tetsuro Miyazaki, Elena Aikawa","Masanori Aikawa, Daiju Fukuda, Tetsuro Miyazaki, Elena Aikawa",2009-11-01,2012-05-01,2013-03-14,,https://patents.google.com/patent/US20130064832A1/en
257,US20110243942A1,Relaxin-fusion proteins with extended in vivo half-lives ,"Athena Discovery, Inc.",Tony Wang,2010-04-02,2011-04-04,2011-10-06,,https://patents.google.com/patent/US20110243942A1/en
258,WO2013105066A1,Salts of an ip receptor agonist ,Novartis Ag,"Catherine Leblanc, Stephen Carl Mckeown, Anett Perlberg, Nicola Tufilli",2012-01-13,2013-01-11,2013-07-18,,https://patents.google.com/patent/WO2013105066A1/en
259,US20120283238A1,Irak inhibitors and uses thereof ,"Nimbus Iris, Inc.","Donna L. Romero, Matthew David Wessel, Shaughnessy Robinson, Jeremy Robert Greenwood, Karl Shawn Watts, Leah Lynn Frye, Geraldine C. Harriman, Alan Franklin Corin, Craig E. Masse",2011-01-10,2012-01-10,2012-11-08,,https://patents.google.com/patent/US20120283238A1/en
260,US20120225941A1,COMPOSITIONS AND METHODS COMPRISING C16:1n7-PALMITOLEATE ,"Tersus Pharmaceuticals, LLC",Jeffrey Green,2011-03-03,2012-03-02,2012-09-06,,https://patents.google.com/patent/US20120225941A1/en
261,US20120053441A1,Impedance devices for obtaining conductance measurements within luminal organs ,"Dtherapeutics, Llc",Ghassan S. Kassab,2003-02-21,2011-10-27,2012-03-01,,https://patents.google.com/patent/US20120053441A1/en
262,US20130331665A1,System and methods for wireless body fluid monitoring ,"Corventis, Inc.","Imad Libbus, Mark J. Bly",2007-09-14,2013-01-28,2013-12-12,,https://patents.google.com/patent/US20130331665A1/en
263,US8748103B2,Monitoring health and disease status using clonotype profiles ,"Sequenta, Inc.","Malek Faham, Thomas Willis",2008-11-07,2011-05-04,2014-06-10,2014-06-10,https://patents.google.com/patent/US8748103B2/en
264,WO2011085009A2,"Polymorphic, crystalline and mesophase forms of sodium 2-(5-bromo-4-(4-cyclopropylnaphthalen-1-yl)-4h-1,2,4-triazol-3-ylthio)acetate, and uses thereof ","Ardea Biosciences, Inc.","Irina Zamansky, Gabriel Galvin, Jean-Luc Girardet",2010-01-08,2011-01-05,2011-07-14,,https://patents.google.com/patent/WO2011085009A2/en
265,US20120253142A1,"Monitoring, predicting and treating clinical episodes ",Earlysense Ltd.,"Guy Meger, Zvi Shinar, Roman Karasik, Tal KLAP, Efrat Herbst, Avner Halperin",2010-12-07,2011-12-07,2012-10-04,,https://patents.google.com/patent/US20120253142A1/en
266,US8233988B2,Electrical stimulation treatment of hypotension ,Electrocore Llc,"Joseph P. Errico, Bruce J. Simon, Steven Mendez",2006-02-10,2011-09-14,2012-07-31,2012-07-31,https://patents.google.com/patent/US8233988B2/en
267,US20140206955A1,Wrist-worn body monitoring device ,"Bodymedia, Inc.","John M. Stivoric, Christopher Pacione, Eric Teller, David Andre, Christopher D. Kasabach, Scott K. Boehmke, Suresh Vishnubhatla, Scott Safier, Jonathan Farringdon, Raymond Pelletier",2000-06-16,2014-03-21,2014-07-24,,https://patents.google.com/patent/US20140206955A1/en
268,US20110275907A1,Electronic Health Journal ,"Salvatore Richard Inciardi, Elliott Sandra D","Salvatore Richard Inciardi, Sandra D. Elliott",2010-05-07,2011-03-07,2011-11-10,,https://patents.google.com/patent/US20110275907A1/en
269,US20120323127A1,"System, Devices, and Methods For Detecting Occlusions In A Biological Subject ",Searete Llc,"Edward S. Boyden, Eric C. Leuthardt",2007-12-18,2012-08-14,2012-12-20,,https://patents.google.com/patent/US20120323127A1/en
270,US20130019406A1,Apparatuses for supporting and monitoring a person ,"Carl William Riley, Receveur Timothy J, Ribble David L","Carl William Riley, Timothy J. Receveur, David L. Ribble",2008-10-24,2012-09-28,2013-01-24,,https://patents.google.com/patent/US20130019406A1/en
